Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.630413e-2,-1.579976e0
QQN-GoldenSection,51,2.630413e-2,-1.579976e0
QQN-GoldenSection,100,1.163467e-2,-1.934246e0
QQN-GoldenSection,149,4.139095e-3,-2.383095e0
QQN-GoldenSection,201,2.985835e-4,-3.524934e0
QQN-GoldenSection,249,1.769734e-5,-4.752092e0
QQN-GoldenSection,251,2.500024e-8,-7.602056e0
QQN-GoldenSection,2,1.681634e-1,-7.742686e-1
QQN-GoldenSection,51,1.681634e-1,-7.742686e-1
QQN-GoldenSection,104,4.805949e-3,-2.318221e0
QQN-GoldenSection,152,1.960759e-3,-2.707576e0
QQN-GoldenSection,200,1.062305e-4,-3.973751e0
QQN-GoldenSection,248,1.522314e-5,-4.817496e0
QQN-GoldenSection,296,9.826097e-6,-5.007619e0
QQN-GoldenSection,298,6.120178e-10,-9.213236e0
QQN-GoldenSection,2,8.929391e-2,-1.049178e0
QQN-GoldenSection,51,8.929391e-2,-1.049178e0
QQN-GoldenSection,104,2.280706e-2,-1.641931e0
QQN-GoldenSection,157,2.168261e-3,-2.663889e0
QQN-GoldenSection,159,3.020772e-7,-6.519882e0
QQN-GoldenSection,2,1.215552e-1,-9.152263e-1
QQN-GoldenSection,51,1.215552e-1,-9.152263e-1
QQN-GoldenSection,104,4.372142e-2,-1.359306e0
QQN-GoldenSection,157,1.985095e-2,-1.702219e0
QQN-GoldenSection,206,1.502116e-2,-1.823296e0
QQN-GoldenSection,255,1.127759e-3,-2.947784e0
QQN-GoldenSection,305,3.259749e-5,-4.486816e0
QQN-GoldenSection,307,4.258250e-7,-6.370769e0
QQN-GoldenSection,2,2.159887e-1,-6.655691e-1
QQN-GoldenSection,50,2.159887e-1,-6.655691e-1
QQN-GoldenSection,103,4.444534e-2,-1.352174e0
QQN-GoldenSection,157,2.130676e-2,-1.671483e0
QQN-GoldenSection,206,1.916554e-2,-1.717479e0
QQN-GoldenSection,254,2.668595e-3,-2.573717e0
QQN-GoldenSection,304,2.947632e-4,-3.530527e0
QQN-GoldenSection,353,1.891294e-5,-4.723241e0
QQN-GoldenSection,355,2.949381e-7,-6.530269e0
QQN-GoldenSection,2,1.707467e-2,-1.767648e0
QQN-GoldenSection,51,1.707467e-2,-1.767648e0
QQN-GoldenSection,100,5.747064e-3,-2.240554e0
QQN-GoldenSection,155,1.627953e-3,-2.788358e0
QQN-GoldenSection,203,1.697791e-4,-3.770116e0
QQN-GoldenSection,251,3.393396e-6,-5.469365e0
QQN-GoldenSection,253,1.048774e-8,-7.979318e0
QQN-GoldenSection,2,1.046677e-1,-9.801875e-1
QQN-GoldenSection,51,1.046677e-1,-9.801875e-1
QQN-GoldenSection,104,4.402345e-2,-1.356316e0
QQN-GoldenSection,157,2.068164e-2,-1.684415e0
QQN-GoldenSection,206,1.119670e-2,-1.950910e0
QQN-GoldenSection,254,2.288933e-3,-2.640367e0
QQN-GoldenSection,256,1.676643e-7,-6.775559e0
QQN-GoldenSection,2,2.532779e-1,-5.964027e-1
QQN-GoldenSection,50,2.532779e-1,-5.964027e-1
QQN-GoldenSection,103,2.383270e-3,-2.622827e0
QQN-GoldenSection,151,1.670511e-3,-2.777151e0
QQN-GoldenSection,199,3.783465e-4,-3.422110e0
QQN-GoldenSection,247,3.630941e-5,-4.439981e0
QQN-GoldenSection,249,1.609551e-7,-6.793295e0
QQN-GoldenSection,2,5.953837e-2,-1.225203e0
QQN-GoldenSection,51,5.953837e-2,-1.225203e0
QQN-GoldenSection,104,5.097585e-2,-1.292636e0
QQN-GoldenSection,157,4.068151e-2,-1.390603e0
QQN-GoldenSection,205,2.257691e-2,-1.646335e0
QQN-GoldenSection,254,2.507056e-3,-2.600836e0
QQN-GoldenSection,303,1.177826e-4,-3.928919e0
QQN-GoldenSection,351,1.364349e-5,-4.865075e0
QQN-GoldenSection,401,1.759181e-6,-5.754690e0
