Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,6.590532e0
QQN-GoldenSection,52,6.590532e0
QQN-GoldenSection,101,1.540013e-1
QQN-GoldenSection,149,3.529770e-4
QQN-GoldenSection,205,5.913126e-7
QQN-GoldenSection,207,1.004573e-16
QQN-GoldenSection,2,9.128520e0
QQN-GoldenSection,52,9.128520e0
QQN-GoldenSection,101,7.284347e-2
QQN-GoldenSection,149,4.386800e-5
QQN-GoldenSection,205,1.928375e-8
QQN-GoldenSection,207,1.358455e-20
QQN-GoldenSection,2,8.607359e0
QQN-GoldenSection,52,8.607359e0
QQN-GoldenSection,101,1.633169e-1
QQN-GoldenSection,149,2.492758e-4
QQN-GoldenSection,205,2.778893e-7
QQN-GoldenSection,207,1.462183e-17
QQN-GoldenSection,2,1.041158e1
QQN-GoldenSection,53,1.041158e1
QQN-GoldenSection,102,2.215989e-1
QQN-GoldenSection,150,3.338617e-4
QQN-GoldenSection,206,3.674813e-7
QQN-GoldenSection,208,3.256107e-17
QQN-GoldenSection,2,1.267983e1
QQN-GoldenSection,53,1.267983e1
QQN-GoldenSection,102,1.642694e-1
QQN-GoldenSection,150,1.294044e-4
QQN-GoldenSection,206,7.441887e-8
QQN-GoldenSection,208,5.170627e-19
QQN-GoldenSection,2,6.119805e0
QQN-GoldenSection,52,6.119805e0
QQN-GoldenSection,101,1.296123e-1
QQN-GoldenSection,149,2.826043e-4
QQN-GoldenSection,205,4.502774e-7
QQN-GoldenSection,207,4.922742e-17
QQN-GoldenSection,2,1.001776e1
QQN-GoldenSection,53,1.001776e1
QQN-GoldenSection,102,2.341565e-1
QQN-GoldenSection,150,3.996251e-4
QQN-GoldenSection,206,4.983895e-7
QQN-GoldenSection,208,7.170818e-17
QQN-GoldenSection,2,1.017755e1
QQN-GoldenSection,53,1.017755e1
QQN-GoldenSection,102,3.478951e-2
QQN-GoldenSection,150,8.248820e-6
QQN-GoldenSection,152,1.427389e-9
QQN-GoldenSection,2,9.114419e0
QQN-GoldenSection,52,9.114419e0
QQN-GoldenSection,101,3.210576e-1
QQN-GoldenSection,149,9.043746e-4
QQN-GoldenSection,205,1.863740e-6
QQN-GoldenSection,207,2.241272e-15
QQN-GoldenSection,2,8.670868e0
QQN-GoldenSection,52,8.670868e0
QQN-GoldenSection,101,1.097983e-1
QQN-GoldenSection,149,1.098280e-4
QQN-GoldenSection,205,8.020932e-8
QQN-GoldenSection,207,5.609878e-19
QQN-GoldenSection,2,8.073273e0
QQN-GoldenSection,52,8.073273e0
QQN-GoldenSection,101,2.954033e-1
QQN-GoldenSection,149,9.443243e-4
QQN-GoldenSection,205,2.209375e-6
QQN-GoldenSection,207,3.350147e-15
QQN-GoldenSection,2,1.014304e1
QQN-GoldenSection,53,1.014304e1
QQN-GoldenSection,102,2.439383e-1
QQN-GoldenSection,150,4.253102e-4
QQN-GoldenSection,206,5.418358e-7
QQN-GoldenSection,208,8.984838e-17
QQN-GoldenSection,2,1.248171e1
QQN-GoldenSection,53,1.248171e1
QQN-GoldenSection,102,1.446597e-1
QQN-GoldenSection,150,1.027763e-4
QQN-GoldenSection,206,5.331011e-8
QQN-GoldenSection,208,2.123857e-19
QQN-GoldenSection,2,6.989040e0
QQN-GoldenSection,52,6.989040e0
QQN-GoldenSection,101,5.995665e-2
QQN-GoldenSection,149,4.689588e-5
QQN-GoldenSection,205,2.677012e-8
QQN-GoldenSection,207,3.256932e-20
QQN-GoldenSection,2,1.319441e1
QQN-GoldenSection,53,1.319441e1
QQN-GoldenSection,102,1.665057e-1
